metric_candidate_id,source_evidence_id,source_name,source_type,entity_type,entity_id,segment_id,company_id,stock_code,metric_name,metric_category,period,period_type,value,unit,currency,original_value_text,original_unit_text,table_id,page_no_or_section,calculation_method,is_estimate,is_reported,confidence,review_status,promote_to_metric_id,created_at,notes
metric_company_cn_300731_cotran_debt_to_assets_20251231_d9d0da,market_data_tushare_fina_indicator_selected_stocks_20260701_c3e4a9,tushare,structured_financial_data,company,cn_300731_cotran,,cn_300731_cotran,300731.SZ,debt_to_assets,financial_indicator,20251231,annual,48.7692,%,,48.7692,%,tushare_snapshot,csv,Tushare snapshot value; no restatement adjustment in P1,false,true,medium,draft,,2026-07-01,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。; metric_only; does not prove business exposure
metric_company_cn_300731_cotran_net_operating_cash_flow_20251231_4979ed,market_data_tushare_cashflow_selected_stocks_20260701_d5b6c1,tushare,structured_financial_data,company,cn_300731_cotran,,cn_300731_cotran,300731.SZ,net_operating_cash_flow,cash_flow,20251231,annual,42753313.69,CNY,CNY,42753313.69,CNY,tushare_snapshot,csv,Tushare snapshot value; no restatement adjustment in P1,false,true,medium,draft,,2026-07-01,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。; metric_only; does not prove business exposure
metric_company_cn_300731_cotran_inventories_20251231_1dfe67,market_data_tushare_balancesheet_selected_stocks_20260701_a8f0d7,tushare,structured_financial_data,company,cn_300731_cotran,,cn_300731_cotran,300731.SZ,inventories,balance_sheet,20251231,annual,135574593.21,CNY,CNY,135574593.21,CNY,tushare_snapshot,csv,Tushare snapshot value; no restatement adjustment in P1,false,true,medium,draft,,2026-07-01,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。; metric_only; does not prove business exposure
metric_company_cn_300731_cotran_accounts_receivable_20251231_df73b6,market_data_tushare_balancesheet_selected_stocks_20260701_a8f0d7,tushare,structured_financial_data,company,cn_300731_cotran,,cn_300731_cotran,300731.SZ,accounts_receivable,balance_sheet,20251231,annual,427098519.57,CNY,CNY,427098519.57,CNY,tushare_snapshot,csv,Tushare snapshot value; no restatement adjustment in P1,false,true,medium,draft,,2026-07-01,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。; metric_only; does not prove business exposure
metric_company_cn_300731_cotran_total_revenue_20260331_4b0d33,market_data_tushare_income_selected_stocks_20260701_f1c8b2,tushare,structured_financial_data,company,cn_300731_cotran,,cn_300731_cotran,300731.SZ,total_revenue,income_statement,20260331,quarterly,224326491.62,CNY,CNY,224326491.62,CNY,tushare_snapshot,csv,Tushare snapshot value; no restatement adjustment in P1,false,true,medium,draft,,2026-07-01,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。; metric_only; does not prove business exposure
metric_company_cn_300731_cotran_net_profit_attributable_20260331_107cde,market_data_tushare_income_selected_stocks_20260701_f1c8b2,tushare,structured_financial_data,company,cn_300731_cotran,,cn_300731_cotran,300731.SZ,net_profit_attributable,income_statement,20260331,quarterly,-2998057.52,CNY,CNY,-2998057.52,CNY,tushare_snapshot,csv,Tushare snapshot value; no restatement adjustment in P1,false,true,medium,draft,,2026-07-01,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。; metric_only; does not prove business exposure
metric_company_cn_300731_cotran_basic_eps_20260331_a8162e,market_data_tushare_income_selected_stocks_20260701_f1c8b2,tushare,structured_financial_data,company,cn_300731_cotran,,cn_300731_cotran,300731.SZ,basic_eps,income_statement,20260331,quarterly,-0.02,CNY/share,CNY,-0.02,CNY/share,tushare_snapshot,csv,Tushare snapshot value; no restatement adjustment in P1,false,true,medium,draft,,2026-07-01,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。; metric_only; does not prove business exposure
metric_company_cn_300731_cotran_gross_margin_20260331_930b09,market_data_tushare_fina_indicator_selected_stocks_20260701_c3e4a9,tushare,structured_financial_data,company,cn_300731_cotran,,cn_300731_cotran,300731.SZ,gross_margin,financial_indicator,20260331,quarterly,16.4562,%,,16.4562,%,tushare_snapshot,csv,Tushare snapshot value; no restatement adjustment in P1,false,true,medium,draft,,2026-07-01,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。; metric_only; does not prove business exposure
metric_company_cn_300731_cotran_net_profit_margin_20260331_66adcc,market_data_tushare_fina_indicator_selected_stocks_20260701_c3e4a9,tushare,structured_financial_data,company,cn_300731_cotran,,cn_300731_cotran,300731.SZ,net_profit_margin,financial_indicator,20260331,quarterly,-0.7958,%,,-0.7958,%,tushare_snapshot,csv,Tushare snapshot value; no restatement adjustment in P1,false,true,medium,draft,,2026-07-01,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。; metric_only; does not prove business exposure
metric_company_cn_300731_cotran_roe_dt_20260331_5c9b25,market_data_tushare_fina_indicator_selected_stocks_20260701_c3e4a9,tushare,structured_financial_data,company,cn_300731_cotran,,cn_300731_cotran,300731.SZ,roe_dt,financial_indicator,20260331,quarterly,-0.5666,%,,-0.5666,%,tushare_snapshot,csv,Tushare snapshot value; no restatement adjustment in P1,false,true,medium,draft,,2026-07-01,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。; metric_only; does not prove business exposure
metric_company_cn_300731_cotran_operating_cash_flow_per_share_20260331_de5fa9,market_data_tushare_fina_indicator_selected_stocks_20260701_c3e4a9,tushare,structured_financial_data,company,cn_300731_cotran,,cn_300731_cotran,300731.SZ,operating_cash_flow_per_share,financial_indicator,20260331,quarterly,-0.2878,CNY/share,CNY,-0.2878,CNY/share,tushare_snapshot,csv,Tushare snapshot value; no restatement adjustment in P1,false,true,medium,draft,,2026-07-01,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。; metric_only; does not prove business exposure
metric_company_cn_300731_cotran_debt_to_assets_20260331_d4302c,market_data_tushare_fina_indicator_selected_stocks_20260701_c3e4a9,tushare,structured_financial_data,company,cn_300731_cotran,,cn_300731_cotran,300731.SZ,debt_to_assets,financial_indicator,20260331,quarterly,49.2917,%,,49.2917,%,tushare_snapshot,csv,Tushare snapshot value; no restatement adjustment in P1,false,true,medium,draft,,2026-07-01,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。; metric_only; does not prove business exposure
metric_company_cn_300731_cotran_net_operating_cash_flow_20260331_512da8,market_data_tushare_cashflow_selected_stocks_20260701_d5b6c1,tushare,structured_financial_data,company,cn_300731_cotran,,cn_300731_cotran,300731.SZ,net_operating_cash_flow,cash_flow,20260331,quarterly,-36439170.04,CNY,CNY,-36439170.04,CNY,tushare_snapshot,csv,Tushare snapshot value; no restatement adjustment in P1,false,true,medium,draft,,2026-07-01,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。; metric_only; does not prove business exposure
metric_company_cn_300731_cotran_inventories_20260331_fed997,market_data_tushare_balancesheet_selected_stocks_20260701_a8f0d7,tushare,structured_financial_data,company,cn_300731_cotran,,cn_300731_cotran,300731.SZ,inventories,balance_sheet,20260331,quarterly,150406837.99,CNY,CNY,150406837.99,CNY,tushare_snapshot,csv,Tushare snapshot value; no restatement adjustment in P1,false,true,medium,draft,,2026-07-01,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。; metric_only; does not prove business exposure
metric_company_cn_300731_cotran_accounts_receivable_20260331_01be5f,market_data_tushare_balancesheet_selected_stocks_20260701_a8f0d7,tushare,structured_financial_data,company,cn_300731_cotran,,cn_300731_cotran,300731.SZ,accounts_receivable,balance_sheet,20260331,quarterly,331614907.2,CNY,CNY,331614907.2,CNY,tushare_snapshot,csv,Tushare snapshot value; no restatement adjustment in P1,false,true,medium,draft,,2026-07-01,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。; metric_only; does not prove business exposure
