ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
301018.SZ,20260424,124.1,127.49,121.21,123.79,124.1,-0.31,-0.2498,122575.0,1523233.908
301018.SZ,20260423,125.44,131.5,123.0,124.1,126.5,-2.4,-1.8972,151255.03,1924205.554
301018.SZ,20260422,123.72,127.41,118.0,126.5,124.84,1.66,1.3297,195049.67,2390432.652
301018.SZ,20260421,120.44,127.91,120.44,124.84,126.96,-2.12,-1.6698,175785.26,2186012.466
301018.SZ,20260420,124.0,136.01,122.01,126.96,120.45,6.51,5.4047,215082.93,2777113.373
301018.SZ,20260417,119.9,124.49,117.33,120.45,122.83,-2.38,-1.9376,139625.91,1687977.681
301018.SZ,20260416,123.15,125.8,120.7,122.83,123.29,-0.46,-0.3731,155519.39,1912146.201
301018.SZ,20260415,125.51,126.99,121.89,123.29,125.32,-2.03,-1.6199,127675.97,1586342.093
301018.SZ,20260414,122.02,128.8,118.31,125.32,117.28,8.04,6.8554,164896.76,2036490.481
301018.SZ,20260413,115.0,119.9,112.73,117.28,109.54,7.74,7.0659,184394.29,2143576.158
301018.SZ,20260410,106.59,114.24,105.04,109.54,104.3,5.24,5.024,177579.17,1947358.984
301018.SZ,20260409,99.5,105.8,98.91,104.3,102.29,2.01,1.965,141274.53,1463805.041
301018.SZ,20260408,92.39,102.93,91.1,102.29,88.31,13.98,15.8306,185195.07,1796888.384
301018.SZ,20260407,91.55,94.65,88.01,88.31,91.05,-2.74,-3.0093,76842.26,697401.591
301018.SZ,20260403,91.88,94.48,90.92,91.05,91.1,-0.05,-0.0549,60205.7,556986.885
301018.SZ,20260402,94.67,94.67,90.0,91.1,95.0,-3.9,-4.1053,59188.2,544671.337
301018.SZ,20260401,94.5,97.5,93.74,95.0,91.52,3.48,3.8024,81074.86,773561.114
301018.SZ,20260331,97.33,97.99,91.19,91.52,97.11,-5.59,-5.7564,96364.84,903004.034
301018.SZ,20260330,87.51,99.05,87.2,97.11,89.54,7.57,8.4543,166725.88,1591551.319
301018.SZ,20260327,85.88,90.36,85.17,89.54,87.59,1.95,2.2263,68522.59,601256.203
301018.SZ,20260326,90.63,91.13,87.0,87.59,90.89,-3.3,-3.6308,75390.63,669173.239
301018.SZ,20260325,89.0,93.5,89.0,90.89,87.83,3.06,3.484,88667.68,810033.326
301018.SZ,20260324,90.0,91.63,85.5,87.83,87.15,0.68,0.7803,74318.64,647985.248
301018.SZ,20260323,88.81,91.68,86.16,87.15,92.09,-4.94,-5.3643,97679.29,867552.779
301018.SZ,20260320,96.0,97.28,91.7,92.09,94.91,-2.82,-2.9712,99844.96,945671.407
301018.SZ,20260319,96.79,98.38,94.3,94.91,98.58,-3.67,-3.7229,91879.44,881731.21
301018.SZ,20260318,98.04,100.72,95.6,98.58,96.01,2.57,2.6768,117608.87,1159061.978
301018.SZ,20260317,105.11,105.6,95.77,96.01,104.03,-8.02,-7.7093,122768.34,1200358.574
301018.SZ,20260316,101.46,106.66,98.16,104.03,101.02,3.01,2.9796,141915.28,1450996.458
301018.SZ,20260313,103.99,104.7,98.0,101.02,103.96,-2.94,-2.828,120887.53,1224983.344
301018.SZ,20260312,111.0,111.63,102.0,103.96,111.63,-7.67,-6.8709,186586.92,1970050.187
