metric_id,entity_type,entity_id,metric_name,period,value,unit,source_evidence_id,calculation_method,is_estimate,confidence,created_at,status,review_status,notes
metric_cn_002837_invic_basic_eps_20250930_3e8381,company,cn_002837_invic,basic_eps,20250930,0.41,CNY,ev_structured_financial_data_002837_20260701_89213a,raw_adapter_snapshot_no_recalculation,false,medium,2026-07-02T16:41:18Z,active,reviewed_r3_candidate,Metric-only candidate generated from structured snapshot; api_params_hash=89213a966157f54a99fb9c7a56582424d1e66d7d9c39990d049c80f5e508f1aa; not business exposure evidence.; promoted_from=metric_income_002837_20250930_basic_eps_32e531d4
metric_cn_002837_invic_diluted_eps_20250930_39c92b,company,cn_002837_invic,diluted_eps,20250930,0.41,CNY,ev_structured_financial_data_002837_20260701_89213a,raw_adapter_snapshot_no_recalculation,false,medium,2026-07-02T16:41:18Z,active,reviewed_r3_candidate,Metric-only candidate generated from structured snapshot; api_params_hash=89213a966157f54a99fb9c7a56582424d1e66d7d9c39990d049c80f5e508f1aa; not business exposure evidence.; promoted_from=metric_income_002837_20250930_diluted_eps_31001917
metric_cn_002837_invic_total_revenue_20250630_211292,company,cn_002837_invic,total_revenue,20250630,2573139460.9,CNY,ev_structured_financial_data_002837_20260701_89213a,raw_adapter_snapshot_no_recalculation,false,medium,2026-07-02T16:41:18Z,active,reviewed_r3_candidate,Metric-only candidate generated from structured snapshot; api_params_hash=89213a966157f54a99fb9c7a56582424d1e66d7d9c39990d049c80f5e508f1aa; not business exposure evidence.; promoted_from=metric_income_002837_20250630_total_revenue_82825214
metric_cn_002837_invic_revenue_20250630_211545,company,cn_002837_invic,revenue,20250630,2573139460.9,CNY,ev_structured_financial_data_002837_20260701_89213a,raw_adapter_snapshot_no_recalculation,false,medium,2026-07-02T16:41:18Z,active,reviewed_r3_candidate,Metric-only candidate generated from structured snapshot; api_params_hash=89213a966157f54a99fb9c7a56582424d1e66d7d9c39990d049c80f5e508f1aa; not business exposure evidence.; promoted_from=metric_income_002837_20250630_revenue_8d4106a5
metric_cn_002837_invic_operate_profit_20250630_b21109,company,cn_002837_invic,operate_profit,20250630,243714815.46,CNY,ev_structured_financial_data_002837_20260701_89213a,raw_adapter_snapshot_no_recalculation,false,medium,2026-07-02T16:41:18Z,active,reviewed_r3_candidate,Metric-only candidate generated from structured snapshot; api_params_hash=89213a966157f54a99fb9c7a56582424d1e66d7d9c39990d049c80f5e508f1aa; not business exposure evidence.; promoted_from=metric_income_002837_20250630_operate_profit_c0913d70
metric_cn_002837_invic_total_profit_20250630_acd4ac,company,cn_002837_invic,total_profit,20250630,248941146.02,CNY,ev_structured_financial_data_002837_20260701_89213a,raw_adapter_snapshot_no_recalculation,false,medium,2026-07-02T16:41:18Z,active,reviewed_r3_candidate,Metric-only candidate generated from structured snapshot; api_params_hash=89213a966157f54a99fb9c7a56582424d1e66d7d9c39990d049c80f5e508f1aa; not business exposure evidence.; promoted_from=metric_income_002837_20250630_total_profit_b2b0393e
metric_cn_002837_invic_n_income_20250630_00f2e4,company,cn_002837_invic,n_income,20250630,225891956.62,CNY,ev_structured_financial_data_002837_20260701_89213a,raw_adapter_snapshot_no_recalculation,false,medium,2026-07-02T16:41:18Z,active,reviewed_r3_candidate,Metric-only candidate generated from structured snapshot; api_params_hash=89213a966157f54a99fb9c7a56582424d1e66d7d9c39990d049c80f5e508f1aa; not business exposure evidence.; promoted_from=metric_income_002837_20250630_n_income_a5417b91
metric_cn_002837_invic_n_income_attr_p_20250630_ee68b5,company,cn_002837_invic,n_income_attr_p,20250630,215640426.56,CNY,ev_structured_financial_data_002837_20260701_89213a,raw_adapter_snapshot_no_recalculation,false,medium,2026-07-02T16:41:18Z,active,reviewed_r3_candidate,Metric-only candidate generated from structured snapshot; api_params_hash=89213a966157f54a99fb9c7a56582424d1e66d7d9c39990d049c80f5e508f1aa; not business exposure evidence.; promoted_from=metric_income_002837_20250630_n_income_attr_p_c4836f78
metric_cn_002837_invic_basic_eps_20250630_789d9f,company,cn_002837_invic,basic_eps,20250630,0.22,CNY,ev_structured_financial_data_002837_20260701_89213a,raw_adapter_snapshot_no_recalculation,false,medium,2026-07-02T16:41:18Z,active,reviewed_r3_candidate,Metric-only candidate generated from structured snapshot; api_params_hash=89213a966157f54a99fb9c7a56582424d1e66d7d9c39990d049c80f5e508f1aa; not business exposure evidence.; promoted_from=metric_income_002837_20250630_basic_eps_c757be1e
metric_cn_002837_invic_diluted_eps_20250630_76db98,company,cn_002837_invic,diluted_eps,20250630,0.22,CNY,ev_structured_financial_data_002837_20260701_89213a,raw_adapter_snapshot_no_recalculation,false,medium,2026-07-02T16:41:18Z,active,reviewed_r3_candidate,Metric-only candidate generated from structured snapshot; api_params_hash=89213a966157f54a99fb9c7a56582424d1e66d7d9c39990d049c80f5e508f1aa; not business exposure evidence.; promoted_from=metric_income_002837_20250630_diluted_eps_10718fd1
