metric_candidate_id,source_evidence_id,source_name,source_type,entity_type,entity_id,segment_id,company_id,stock_code,metric_name,metric_category,period,period_type,value,unit,currency,original_value_text,original_unit_text,table_id,page_no_or_section,calculation_method,is_estimate,is_reported,confidence,review_status,promote_to_metric_id,created_at,notes
metric_company_cn_002837_invic_n_income_attr_p_20241231_7b3f64a4,ev_structured_financial_data_002837_20260713_38e6e4,tushare,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,n_income_attr_p,income,20241231,unknown,452664369.42,CNY,CNY,452664369.42,CNY,tushare_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-12T17:39:32Z,Metric-only candidate generated from structured snapshot; api_params_hash=38e6e4c336c2bb7892a7e5eb4f92fa2ded11fd4adc1ad1191cfd58eca8858696; not business exposure evidence. unit normalized from source field semantics without value rescaling.
metric_company_cn_002837_invic_n_income_attr_p_20250331_46313f34,ev_structured_financial_data_002837_20260713_38e6e4,tushare,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,n_income_attr_p,income,20250331,unknown,48010475.41,CNY,CNY,48010475.41,CNY,tushare_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-12T17:39:32Z,Metric-only candidate generated from structured snapshot; api_params_hash=38e6e4c336c2bb7892a7e5eb4f92fa2ded11fd4adc1ad1191cfd58eca8858696; not business exposure evidence. unit normalized from source field semantics without value rescaling.
metric_company_cn_002837_invic_n_income_attr_p_20250630_856c3df1,ev_structured_financial_data_002837_20260713_38e6e4,tushare,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,n_income_attr_p,income,20250630,unknown,215640426.56,CNY,CNY,215640426.56,CNY,tushare_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-12T17:39:32Z,Metric-only candidate generated from structured snapshot; api_params_hash=38e6e4c336c2bb7892a7e5eb4f92fa2ded11fd4adc1ad1191cfd58eca8858696; not business exposure evidence. unit normalized from source field semantics without value rescaling.
metric_company_cn_002837_invic_n_income_attr_p_20250930_f039d895,ev_structured_financial_data_002837_20260713_38e6e4,tushare,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,n_income_attr_p,income,20250930,unknown,399069661.11,CNY,CNY,399069661.11,CNY,tushare_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-12T17:39:32Z,Metric-only candidate generated from structured snapshot; api_params_hash=38e6e4c336c2bb7892a7e5eb4f92fa2ded11fd4adc1ad1191cfd58eca8858696; not business exposure evidence. unit normalized from source field semantics without value rescaling.
metric_company_cn_002837_invic_n_income_attr_p_20251231_3c260850,ev_structured_financial_data_002837_20260713_38e6e4,tushare,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,n_income_attr_p,income,20251231,unknown,521914773.0,CNY,CNY,521914773.0,CNY,tushare_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-12T17:39:32Z,Metric-only candidate generated from structured snapshot; api_params_hash=38e6e4c336c2bb7892a7e5eb4f92fa2ded11fd4adc1ad1191cfd58eca8858696; not business exposure evidence. unit normalized from source field semantics without value rescaling.
metric_company_cn_002837_invic_n_income_attr_p_20260331_f66e5f1b,ev_structured_financial_data_002837_20260713_38e6e4,tushare,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,n_income_attr_p,income,20260331,unknown,8657602.27,CNY,CNY,8657602.27,CNY,tushare_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-12T17:39:32Z,Metric-only candidate generated from structured snapshot; api_params_hash=38e6e4c336c2bb7892a7e5eb4f92fa2ded11fd4adc1ad1191cfd58eca8858696; not business exposure evidence. unit normalized from source field semantics without value rescaling.
metric_company_cn_002837_invic_operate_profit_20231231_403d27b3,ev_structured_financial_data_002837_20260713_38e6e4,tushare,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,operate_profit,income,20231231,unknown,396030725.97,CNY,CNY,396030725.97,CNY,tushare_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-12T17:39:32Z,Metric-only candidate generated from structured snapshot; api_params_hash=38e6e4c336c2bb7892a7e5eb4f92fa2ded11fd4adc1ad1191cfd58eca8858696; not business exposure evidence. unit normalized from source field semantics without value rescaling.
metric_company_cn_002837_invic_operate_profit_20240331_31d41fba,ev_structured_financial_data_002837_20260713_38e6e4,tushare,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,operate_profit,income,20240331,unknown,63758827.36,CNY,CNY,63758827.36,CNY,tushare_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-12T17:39:32Z,Metric-only candidate generated from structured snapshot; api_params_hash=38e6e4c336c2bb7892a7e5eb4f92fa2ded11fd4adc1ad1191cfd58eca8858696; not business exposure evidence. unit normalized from source field semantics without value rescaling.
metric_company_cn_002837_invic_operate_profit_20240630_ceeed60e,ev_structured_financial_data_002837_20260713_38e6e4,tushare,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,operate_profit,income,20240630,unknown,199058022.15,CNY,CNY,199058022.15,CNY,tushare_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-12T17:39:32Z,Metric-only candidate generated from structured snapshot; api_params_hash=38e6e4c336c2bb7892a7e5eb4f92fa2ded11fd4adc1ad1191cfd58eca8858696; not business exposure evidence. unit normalized from source field semantics without value rescaling.
metric_company_cn_002837_invic_operate_profit_20240930_dc1c9b08,ev_structured_financial_data_002837_20260713_38e6e4,tushare,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,operate_profit,income,20240930,unknown,388843307.09,CNY,CNY,388843307.09,CNY,tushare_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-12T17:39:32Z,Metric-only candidate generated from structured snapshot; api_params_hash=38e6e4c336c2bb7892a7e5eb4f92fa2ded11fd4adc1ad1191cfd58eca8858696; not business exposure evidence. unit normalized from source field semantics without value rescaling.
