metric_candidate_id,source_evidence_id,source_name,source_type,entity_type,entity_id,segment_id,company_id,stock_code,metric_name,metric_category,period,period_type,value,unit,currency,original_value_text,original_unit_text,table_id,page_no_or_section,calculation_method,is_estimate,is_reported,confidence,review_status,promote_to_metric_id,created_at,notes
metric_income_002837_20250930_n_income_9855f081,ev_structured_financial_data_002837_20260701_89213a,local_tushare_fixture,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,n_income,income,20250930,unknown,413650525.21,CNY,,413650525.21,CNY,local_tushare_fixture_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-02T16:41:18Z,Metric-only candidate generated from structured snapshot; api_params_hash=89213a966157f54a99fb9c7a56582424d1e66d7d9c39990d049c80f5e508f1aa; not business exposure evidence.
metric_income_002837_20250930_n_income_attr_p_8b50d9f1,ev_structured_financial_data_002837_20260701_89213a,local_tushare_fixture,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,n_income_attr_p,income,20250930,unknown,399069661.11,CNY,,399069661.11,CNY,local_tushare_fixture_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-02T16:41:18Z,Metric-only candidate generated from structured snapshot; api_params_hash=89213a966157f54a99fb9c7a56582424d1e66d7d9c39990d049c80f5e508f1aa; not business exposure evidence.
metric_income_002837_20250930_basic_eps_32e531d4,ev_structured_financial_data_002837_20260701_89213a,local_tushare_fixture,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,basic_eps,income,20250930,unknown,0.41,CNY,,0.41,CNY,local_tushare_fixture_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-02T16:41:18Z,Metric-only candidate generated from structured snapshot; api_params_hash=89213a966157f54a99fb9c7a56582424d1e66d7d9c39990d049c80f5e508f1aa; not business exposure evidence.
metric_income_002837_20250930_diluted_eps_31001917,ev_structured_financial_data_002837_20260701_89213a,local_tushare_fixture,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,diluted_eps,income,20250930,unknown,0.41,CNY,,0.41,CNY,local_tushare_fixture_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-02T16:41:18Z,Metric-only candidate generated from structured snapshot; api_params_hash=89213a966157f54a99fb9c7a56582424d1e66d7d9c39990d049c80f5e508f1aa; not business exposure evidence.
metric_income_002837_20250630_total_revenue_82825214,ev_structured_financial_data_002837_20260701_89213a,local_tushare_fixture,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,total_revenue,income,20250630,unknown,2573139460.9,CNY,,2573139460.9,CNY,local_tushare_fixture_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-02T16:41:18Z,Metric-only candidate generated from structured snapshot; api_params_hash=89213a966157f54a99fb9c7a56582424d1e66d7d9c39990d049c80f5e508f1aa; not business exposure evidence.
metric_income_002837_20250630_revenue_8d4106a5,ev_structured_financial_data_002837_20260701_89213a,local_tushare_fixture,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,revenue,income,20250630,unknown,2573139460.9,CNY,,2573139460.9,CNY,local_tushare_fixture_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-02T16:41:18Z,Metric-only candidate generated from structured snapshot; api_params_hash=89213a966157f54a99fb9c7a56582424d1e66d7d9c39990d049c80f5e508f1aa; not business exposure evidence.
metric_income_002837_20250630_operate_profit_c0913d70,ev_structured_financial_data_002837_20260701_89213a,local_tushare_fixture,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,operate_profit,income,20250630,unknown,243714815.46,CNY,,243714815.46,CNY,local_tushare_fixture_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-02T16:41:18Z,Metric-only candidate generated from structured snapshot; api_params_hash=89213a966157f54a99fb9c7a56582424d1e66d7d9c39990d049c80f5e508f1aa; not business exposure evidence.
metric_income_002837_20250630_total_profit_b2b0393e,ev_structured_financial_data_002837_20260701_89213a,local_tushare_fixture,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,total_profit,income,20250630,unknown,248941146.02,CNY,,248941146.02,CNY,local_tushare_fixture_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-02T16:41:18Z,Metric-only candidate generated from structured snapshot; api_params_hash=89213a966157f54a99fb9c7a56582424d1e66d7d9c39990d049c80f5e508f1aa; not business exposure evidence.
metric_income_002837_20250630_n_income_a5417b91,ev_structured_financial_data_002837_20260701_89213a,local_tushare_fixture,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,n_income,income,20250630,unknown,225891956.62,CNY,,225891956.62,CNY,local_tushare_fixture_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-02T16:41:18Z,Metric-only candidate generated from structured snapshot; api_params_hash=89213a966157f54a99fb9c7a56582424d1e66d7d9c39990d049c80f5e508f1aa; not business exposure evidence.
metric_income_002837_20250630_n_income_attr_p_c4836f78,ev_structured_financial_data_002837_20260701_89213a,local_tushare_fixture,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,n_income_attr_p,income,20250630,unknown,215640426.56,CNY,,215640426.56,CNY,local_tushare_fixture_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-02T16:41:18Z,Metric-only candidate generated from structured snapshot; api_params_hash=89213a966157f54a99fb9c7a56582424d1e66d7d9c39990d049c80f5e508f1aa; not business exposure evidence.
